comuna,precio_93,precio_95,diesel
Empedrado,1535.0,1568.0,1341.0
Maule,1515.0,1547.0,1333.0
Pencahue,1497.0,1531.0,1317.0
Río Claro,1563.0,,1373.0
San Clemente,1502.0,1551.0,1336.0
San Clemente,1439.0,1480.0,1321.0
San Clemente,1537.0,1589.0,1508.0
San Rafael,1527.0,1557.0,1333.0
San Rafael,1529.0,1559.0,1335.0
San Rafael,1527.0,1557.0,1333.0
Cauquenes,1489.0,1530.0,1310.0
Cauquenes,1489.0,1530.0,1310.0
Cauquenes,1486.0,1527.0,1307.0
Cauquenes,1489.0,1530.0,1310.0
Cauquenes,1489.0,1530.0,1310.0
Cauquenes,1487.0,1528.0,1308.0
Chanco,1589.0,1637.0,1546.0
Chanco,1497.0,1538.0,1318.0
Pelluhue,1478.0,1518.0,1316.0
Pelluhue,1477.0,1517.0,1315.0
Pelluhue,1477.0,1517.0,1315.0
Curicó,,,
Curicó,,,
Curicó,1538.0,1565.0,1374.0
Curicó,1539.0,1569.0,1374.0
Curicó,1538.0,1565.0,1374.0
Curicó,1537.0,1571.0,1373.0
Curicó,,,
Curicó,1539.0,1569.0,1374.0
Curicó,,,
Curicó,1538.0,1565.0,1374.0
Curicó,1537.0,1571.0,1373.0
Curicó,1539.0,1569.0,1374.0
Curicó,1538.0,1565.0,1374.0
Curicó,1539.0,1565.0,1376.0
Curicó,1538.0,1565.0,1374.0
Curicó,1538.0,1565.0,1374.0
Curicó,,,1373.0
Curicó,,,
Hualañé,1544.0,1578.0,1380.0
Hualañé,1544.0,1578.0,1380.0
Licantén,1542.0,1576.0,1378.0
Licantén,,,
Molina,1483.0,1524.0,1305.0
Molina,1483.0,1524.0,1305.0
Molina,1480.0,1524.0,1325.0
Molina,1478.0,1519.0,1299.0
Molina,1488.0,1529.0,1310.0
Molina,1483.0,1524.0,1305.0
Molina,1484.0,1527.0,1328.0
Rauco,1541.0,1567.0,1376.0
Romeral,1537.0,1571.0,1373.0
Romeral,1539.0,1564.0,1374.0
Sagrada Familia,1530.0,1557.0,1338.0
Sagrada Familia,1537.0,1571.0,1373.0
Sagrada Familia,1537.0,1571.0,1373.0
Sagrada Familia,1532.0,1557.0,1339.0
Teno,1531.0,1563.0,1363.0
Teno,1537.0,1571.0,1373.0
Teno,1534.0,1569.0,1370.0
Teno,1531.0,1563.0,1363.0
Vichuquén,1525.0,1565.0,1362.0
Vichuquén,1628.0,1670.0,1598.0
Linares,,,
Linares,1493.0,1534.0,1314.0
Linares,1493.0,1534.0,1314.0
Linares,1493.0,1534.0,1314.0
Linares,1493.0,1524.0,1314.0
Linares,1496.0,1536.0,1315.0
Linares,1493.0,1533.0,1314.0
Linares,1496.0,1536.0,1315.0
Linares,1495.0,1536.0,1316.0
Linares,,1534.0,1314.0
Linares,1496.0,1536.0,1315.0
Linares,1493.0,1524.0,1314.0
Linares,1504.0,1544.0,1326.0
Linares,1493.0,1534.0,1314.0
Linares,1493.0,1534.0,1314.0
Linares,1492.0,1533.0,1431.0
Linares,1496.0,1536.0,1315.0
Linares,1493.0,1534.0,1314.0
Colbún,1521.0,1547.0,1328.0
Colbún,1521.0,1547.0,1328.0
Longaví,1497.0,1524.0,1320.0
Longaví,1566.0,1593.0,1334.0
Longaví,1565.0,1609.0,1532.0
Longaví,1572.0,1599.0,1334.0
Parral,1521.0,1557.0,1341.0
Parral,1496.0,1527.0,1333.0
Parral,1495.0,1525.0,1333.0
Parral,1496.0,1527.0,1332.0
Parral,1496.0,1527.0,1332.0
Parral,1494.0,1527.0,1332.0
Parral,1496.0,1527.0,1333.0
Parral,1521.0,1557.0,1341.0
Parral,1521.0,1557.0,1341.0
Parral,1493.0,1527.0,1330.0
Parral,1521.0,1557.0,1341.0
Retiro,1521.0,1557.0,1341.0
Retiro,1498.0,1529.0,1334.0
Retiro,1526.0,1560.0,1346.0
San Javier,1507.0,1541.0,1324.0
San Javier,1507.0,1541.0,1324.0
San Javier,1525.0,1557.0,1333.0
San Javier,1500.0,1533.0,1321.0
San Javier,,,1303.0
San Javier,1516.0,1550.0,1326.0
San Javier,1507.0,1541.0,1324.0
San Javier,1505.0,1540.0,1322.0
Villa Alegre,1502.0,1542.0,1338.0
Villa Alegre,1496.0,1536.0,1336.0
Villa Alegre,1556.0,1599.0,1499.0
Yerbas Buenas,1493.0,1533.0,1314.0
Concepción,,,
Concepción,,,
Concepción,1499.0,1539.0,1332.0
Concepción,1513.0,1546.0,1337.0
Concepción,1514.0,1547.0,1338.0
Concepción,,,
Concepción,1475.0,1513.0,1306.0
Concepción,1486.0,1528.0,1308.0
Concepción,1511.0,1542.0,1330.0
Concepción,1512.0,1544.0,1336.0
Concepción,1484.0,1526.0,1306.0
Concepción,1576.0,1622.0,1427.0
Concepción,1514.0,1547.0,1338.0
Concepción,1513.0,1546.0,1334.0
Concepción,1512.0,1544.0,1336.0
Concepción,1511.0,1542.0,1330.0
Concepción,1513.0,1546.0,1337.0
Concepción,1512.0,1544.0,1336.0
Concepción,1486.0,1528.0,1308.0
Concepción,1513.0,1546.0,1337.0
Concepción,1486.0,1528.0,1308.0
Concepción,1511.0,1542.0,1330.0
Concepción,1513.0,1546.0,1337.0
Concepción,1513.0,1546.0,1337.0
Concepción,1475.0,1513.0,1298.0
Concepción,1511.0,1545.0,1335.0
Coronel,,,
Coronel,1504.0,1546.0,1331.0
Coronel,1504.0,1546.0,1331.0
Coronel,1504.0,1546.0,1331.0
Coronel,1509.0,1549.0,1336.0
Coronel,1506.0,1548.0,1332.0
Coronel,1505.0,1546.0,1333.0
Coronel,1505.0,1546.0,1333.0
Coronel,1504.0,1546.0,1331.0
